Table 188 : Value added and employment in respect of the Four Key Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Value added at current prices,Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1),Employment (1)
,HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),HK$ million (2),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),% share in GDP (3),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),Number (4),% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment,% share in total employment
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Four Key Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(I) Financial services,164200,153800,154100,163300,168300,189700,246000,322600,277100,255900,283800,305300,319300,346200,368000,409900,428900,480500,535100,581300,599500,12.8,12.1,12.3,13.3,13.1,13.8,16.7,20.1,17.1,16.2,16.3,16.1,15.9,16.5,16.7,17.6,17.7,18.8,19.8,21.2,23.4,169100,178100,176000,167900,169400,179400,186000,192700,206100,211400,216700,226200,229100,231900,236400,246700,253100,259000,264300,274400,276200,5.3,5.5,5.5,5.2,5.2,5.4,5.4,5.5,5.9,6.1,6.2,6.3,6.3,6.2,6.3,6.5,6.7,6.8,6.8,7.1,7.5
     Banking,101300,95200,92800,96300,94700,103200,132700,172600,157700,147800,156500,177700,196100,218900,231100,258700,270000,310900,349000,366100,369100,7.9,7.5,7.4,7.8,7.4,7.5,9.0,10.8,9.7,9.3,9.0,9.3,9.7,10.4,10.5,11.1,11.2,12.2,12.9,13.4,14.4,77100,76500,74600,71300,72200,75200,81200,88400,93500,92700,91700,96300,97800,97500,99100,103000,102200,103100,104600,100400,101100,2.4,2.3,2.3,2.2,2.2,2.3,2.4,2.5,2.7,2.7,2.6,2.7,2.7,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.7
     Insurance,31800,33800,36500,37900,37600,39900,42300,50900,49300,44100,54100,56100,59300,60100,67000,74800,88800,93400,96600,108200,112900,2.5,2.7,2.9,3.1,2.9,2.9,2.9,3.2,3.0,2.8,3.1,2.9,2.9,2.9,3.0,3.2,3.7,3.7,3.6,3.9,4.4,39200,39500,42200,40500,39800,45100,42200,43100,43400,45800,42900,46100,46700,48800,51700,56200,62400,65600,68100,72900,73400,1.2,1.2,1.3,1.3,1.2,1.3,1.2,1.2,1.2,1.3,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0
"     Other financial services (e.g. stock brokerage, asset management, finance leasing; and investment and holding companies)",31100,24800,24800,29100,36000,46500,71000,99100,70200,64000,73100,71600,63900,67300,69800,76400,70100,76200,89600,107100,117500,2.4,2.0,2.0,2.4,2.8,3.4,4.8,6.2,4.3,4.0,4.2,3.8,3.2,3.2,3.2,3.3,2.9,3.0,3.3,3.9,4.6,52800,62100,59200,56100,57400,59100,62600,61200,69100,73000,82100,83800,84500,85600,85600,87400,88400,90400,91500,101100,101700,1.6,1.9,1.8,1.8,1.8,1.8,1.8,1.8,2.0,2.1,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.4,2.6,2.8
(II) Tourism,31000,29500,35800,28900,38700,44500,47400,54000,44700,51000,74600,86200,94600,105900,112500,116400,112400,114200,120500,98600,9200,2.4,2.3,2.9,2.4,3.0,3.2,3.2,3.4,2.8,3.2,4.3,4.5,4.7,5.0,5.1,5.0,4.7,4.5,4.5,3.6,0.4,115300,119300,142200,139800,154400,165000,175300,191400,194800,192200,215100,236100,251400,270300,271300,265900,259800,257700,258300,232700,49000,3.6,3.7,4.4,4.4,4.7,4.9,5.1,5.5,5.6,5.5,6.2,6.6,6.9,7.3,7.2,7.0,6.9,6.7,6.6,6.0,1.3
     (A) Inbound tourism,21300,19800,25300,20300,28400,32900,36200,41300,37100,40300,59200,72100,79100,89000,93600,93100,89600,92100,98300,75500,5000,1.7,1.6,2.0,1.7,2.2,2.4,2.5,2.6,2.3,2.5,3.4,3.8,3.9,4.2,4.2,4.0,3.7,3.6,3.6,2.8,0.2,87700,91000,115800,114900,128600,136800,144900,160000,161200,163600,187800,206400,219200,238300,240000,233400,226500,225100,226400,199300,22500,2.7,2.8,3.6,3.6,3.9,4.1,4.2,4.6,4.6,4.7,5.4,5.8,6.0,6.4,6.4,6.2,6.0,5.9,5.8,5.1,0.6
          Retail trade,3400,3500,4100,4800,6600,7300,8700,11100,12500,13300,16900,22700,26400,32000,31400,29500,25900,25500,27400,20600,1100,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,1.0,1.2,1.3,1.5,1.4,1.3,1.1,1.0,1.0,0.8,0.0,28500,30400,38600,48000,52000,54200,62300,74000,75900,82200,88800,91300,100200,112600,112000,107400,104000,99200,100700,87800,6600,0.9,0.9,1.2,1.5,1.6,1.6,1.8,2.1,2.2,2.4,2.6,2.6,2.7,3.0,3.0,2.8,2.7,2.6,2.6,2.3,0.2
